source_doc,question,answer
doc37.txt,What is the main purpose of network segmentation?,"Network segmentation divides a network into smaller, isolated segments with controlled inter-segment communication, containing breaches and aligning access with the least-privilege principle."
doc37.txt,What are the common segmentation zones in VLAN segmentation?,"Common segmentation zones include user endpoints, servers, DMZ (internet-facing services), management, PCI/cardholder data environment, IoT, and guest."
doc37.txt,How does Zero Trust Architecture (ZTA) differ from traditional perimeter security?,"In Zero Trust Architecture, every access request is fully authenticated and authorized before being granted, regardless of the request's origin, whereas traditional perimeter security assumed everything inside the corporate network was trusted and everything outside was untrusted."
doc37.txt,What is the primary benefit of using micro-segmentation in a Zero Trust architecture?,"Micro-segmentation prevents lateral movement by controlling east-west traffic (server-to-server) and enforcing strict access controls, making it difficult for attackers to move laterally within the network."
doc37.txt,Why is SASE (Secure Access Service Edge) considered a more secure option than traditional VPNs?,"SASE provides consistent security policy globally, improves performance for cloud-first organizations, and applies application-level visibility, whereas VPNs provide broad network access and can allow lateral movement from remote access."
doc38.txt,What is the primary goal of a Security Operations Centre (SOC)?,"The primary goal of a Security Operations Centre (SOC) is to translate threat intelligence, security tools, and skilled analysts into continuous protection around the clock."
doc38.txt,What is the difference between Tier 1 and Tier 2 roles in a SOC?,"Tier 1 is the front-line triage role that reviews SIEM alerts, conducts initial investigation, and escalates to Tier 2, whereas Tier 2 conducts deeper investigation of escalated incidents, coordinates response, and manages incident lifecycle."
doc38.txt,Why is reducing Mean Time to Detect (MTTD) the primary SOC performance goal?,"Reducing MTTD is the primary SOC performance goal because it indicates the time from compromise to detection, and reducing this time can help prevent further damage and improve incident response."
doc38.txt,How does SOAR reduce analyst toil in a SOC?,"SOAR reduces analyst toil by automating repetitive tasks such as IP reputation lookups, user account lookups, endpoint quarantine, and ticket creation, enabling Tier 1 analysts to handle higher alert volumes and reducing Mean Time to Respond (MTTR) for common incident types."
doc38.txt,"What is the industry benchmark for dwell time, and why is it a key metric for SOC performance?","The industry benchmark for dwell time is approximately 16 days, and it is a key metric for SOC performance because it indicates the average time attackers have been in the environment before detection, highlighting the need for continuous monitoring and improvement in SOC operations."
doc39.txt,What is the primary concern with mobile devices in terms of security?,"Mobile devices handle sensitive personal and corporate data, process financial transactions, access corporate email and applications, and authenticate through banking and MFA apps. Their combination of powerful capabilities, constant connectivity, and frequent loss or theft makes mobile security a critical discipline."
doc39.txt,What is the difference between iOS and Android security architectures?,"iOS has a closed ecosystem and enforces application sandboxing, mandatory code signing, and Secure Enclave protection, while Android has an open ecosystem with a permission model, Google Play Protect, and Verified Boot, but also faces challenges due to fragmentation and variable security update support."
doc39.txt,Why is jailbreaking a concern in enterprise environments?,"Jailbreaking bypasses iOS security controls and voids Apple's security guarantees, making it a risk to permit jailbroken devices in enterprise environments."
doc39.txt,What is the purpose of the OWASP Mobile Security Testing Guide (MSTG)?,"The OWASP MSTG defines verification requirements and testing procedures for mobile application security, including insecure data storage, communication, authentication, platform interaction, and code quality."
doc39.txt,What is the main advantage of using Unified Endpoint Management (UEM) platforms in enterprise mobile management?,"UEM platforms, such as Microsoft Intune, Jamf, and VMware Workspace ONE, provide a comprehensive management solution that combines Mobile Device Management (MDM), Mobile Application Management (MAM), and other capabilities, allowing for a more streamlined and secure mobile management experience."
doc4.txt,What is the primary purpose of cryptography?,"Cryptography is the practice of securing information by transforming it into an unreadable format, ensuring that only authorised parties can access the original data."
doc4.txt,What is the main challenge of symmetric encryption?,The main challenge of symmetric encryption is secure key distribution.
doc4.txt,How does asymmetric encryption differ from symmetric encryption?,"Asymmetric encryption uses a mathematically linked key pair — a public key for encryption and a private key for decryption, whereas symmetric encryption uses the same key for both encryption and decryption."
doc4.txt,What is the purpose of hashing in cryptography?,"Hashing is a one-way cryptographic function that maps data to a fixed-length output (digest) and is used for data integrity verification, password storage, and digital signatures."
doc4.txt,Why are MD5 and SHA-1 considered cryptographically broken and deprecated?,MD5 and SHA-1 are considered cryptographically broken and deprecated because they are no longer considered secure for cryptographic purposes.
doc40.txt,"What is the primary target for attackers seeking to escalate privileges and establish persistent, widespread access in enterprise networks?","Active Directory (AD) is the primary target for attackers seeking to escalate privileges and establish persistent, widespread access in enterprise networks."
doc40.txt,How does an attacker use a Kerberos ticket to impersonate the original user on other systems?,"An attacker can use a Kerberos ticket, known as a silver ticket, which is forged using the service account's hash, to impersonate the original user on other systems."
doc40.txt,What is the difference between a golden ticket and a silver ticket in the context of Kerberos tickets?,"A golden ticket is a forged TGT (Ticket Granting Ticket) using the KRBTGT hash, providing unlimited domain access, whereas a silver ticket is a forged service ticket using the service account's hash."
doc40.txt,Why is it recommended to place privileged accounts in the Protected Users security group?,"Placing privileged accounts in the Protected Users security group prevents NTLM authentication, prevents credential caching, and enforces Kerberos with AES encryption only, significantly reducing credential theft risk."
doc40.txt,"What is the purpose of enabling advanced audit policies in Active Directory, specifically for Account Logon events and process creation?","Enabling advanced audit policies, such as Account Logon events (4624, 4625) and process creation (4688), allows for monitoring of Kerberoasting indicators, DCSync, and LSASS access attempts, helping to detect and prevent potential security threats."
doc43.txt,What is the primary purpose of the PCI DSS framework?,The primary purpose of the PCI DSS framework is to govern the protection of payment card data.
doc43.txt,What is the main difference between the GDPR and ISO 27001 frameworks?,"The GDPR framework primarily focuses on the processing of personal data of EU residents, whereas the ISO 27001 framework is an international standard for Information Security Management Systems (ISMS) that provides a structured approach to managing security risks."
doc43.txt,How does the NIST CSF framework differ from the PCI DSS and ISO 27001 frameworks?,"Unlike the PCI DSS and ISO 27001 frameworks, the NIST CSF framework is not prescriptive and does not have a certification mechanism, instead providing a voluntary, risk-based framework for managing cybersecurity risk."
doc43.txt,What is the purpose of conducting regular security testing as per the PCI DSS framework?,The purpose of conducting regular security testing as per the PCI DSS framework is to ensure that security systems are functioning as intended and to identify vulnerabilities that could be exploited by attackers.
doc43.txt,Why is it essential for organisations to understand major compliance frameworks?,"It is essential for security professionals working in regulated industries to understand major compliance frameworks as they provide structured requirements and guidelines that help organisations protect data, demonstrate security posture to stakeholders, and meet regulatory obligations."
doc44.txt,What is the primary purpose of a Virtual Private Network (VPN)?,"A Virtual Private Network (VPN) extends a private network across a public network (the internet), enabling secure remote access and site-to-site connectivity."
doc44.txt,How does a VPN's split-tunneling feature differ from a full tunnel?,"A split tunnel allows only traffic destined for corporate resources to route through the VPN, while internet traffic goes directly to the internet, reducing gateway load and improving performance but removing visibility into internet activity."
doc44.txt,What is the main security concern with VPN appliances?,"VPN appliances are high-value targets because they are internet-facing, often run privileged, and provide broad network access if compromised."
doc44.txt,Why do cybersecurity experts recommend replacing VPN with Zero Trust Network Access (ZTNA) for remote access?,"The cybersecurity community increasingly recommends replacing VPN with ZTNA for remote access as organisations mature their security posture, as ZTNA grants access to specific applications only, with continuous verification of identity and device health."
doc44.txt,What is a notable weakness of the PPTP protocol?,"PPTP is a legacy protocol with known weaknesses, and it is broken; use only for compatibility with very old systems that support nothing better."
doc1.txt,What is SQL injection?,"SQL injection is a web application vulnerability that occurs when an attacker inserts malicious SQL code into a query that an application sends to its database, allowing them to read, modify, or delete data, execute administrative operations, and issue commands to the operating system."
doc1.txt,How does SQL injection occur?,"SQL injection occurs when user-supplied input is not properly sanitized before being included in a SQL query, allowing attackers to manipulate the query logic."
doc1.txt,What are the three main types of SQL injection?,"The three main types of SQL injection are In-band SQLi, Inferential (Blind) SQLi, and Out-of-band SQLi."
doc1.txt,Why is input validation important in preventing SQL injection?,"Input validation is important in preventing SQL injection because it ensures that user-supplied input is properly sanitized before being included in a SQL query, preventing attackers from manipulating the query logic."
doc1.txt,What are some prevention strategies for SQL injection?,"Prevention strategies for SQL injection include using parameterized queries, stored procedures, input validation and whitelisting, applying the principle of least privilege to database accounts, and using Web Application Firewalls (WAFs)."
doc16.txt,What is the primary cause of account compromise?,"Weak authentication is the leading cause of account compromise, with over 80% of hacking-related breaches involving stolen or brute-forced credentials."
doc16.txt,How does multi-factor authentication reduce account compromise risk?,Multi-factor authentication dramatically reduces account compromise risk by requiring evidence from multiple distinct categories.
doc16.txt,What is the recommended authentication mechanism for privileged accounts?,"Privileged accounts warrant the strongest authentication controls, including hardware security keys, just-in-time privileged access management (PAM), and session recording."
doc16.txt,What is the difference between TOTP apps and SMS OTP?,"TOTP apps are more secure than SMS OTP because they generate codes based on a shared secret and current time, but they are still vulnerable to real-time phishing, whereas SMS OTP is vulnerable to SIM swapping and SS7 protocol attacks."
doc16.txt,Why does NIST recommend against mandatory password rotation?,"NIST recommends against mandatory password rotation because it drives predictable patterns, which can be exploited by attackers, and instead focuses on breach detection and length."
doc17.txt,What is the primary purpose of the TLS handshake in TLS 1.3?,"The primary purpose of the TLS handshake in TLS 1.3 is to establish a secure connection between the client and server, including the selection of a cipher suite, the exchange of key shares, and the authentication of the handshake."
doc17.txt,Why is TLS 1.3 considered more secure than TLS 1.2?,"TLS 1.3 is considered more secure than TLS 1.2 because it reduces the handshake from 2 round trips to 1 round trip, enabling 0-RTT resumption, and allows only five cipher suites that provide forward secrecy."
doc17.txt,How does a client validate a server certificate in TLS?,"A client validates a server certificate by checking that the certificate chain leads to a trusted root CA, the certificate has not expired, the certificate has not been revoked, and the certificate's Subject Alternative Name (SAN) matches the hostname being accessed."
doc17.txt,What is the main difference between a self-signed certificate and a CA-issued certificate?,"The main difference between a self-signed certificate and a CA-issued certificate is that a CA-issued certificate is trusted by default, whereas a self-signed certificate requires users to click through browser warnings, making it vulnerable to Man-in-the-Middle (MitM) attacks."
doc17.txt,Why is HSTS preloading considered a best practice for TLS security?,"HSTS preloading is considered a best practice for TLS security because it hardcodes HTTPS enforcement in browser distributions, eliminating the first-visit vulnerability window before the browser has seen the HSTS header."
doc2.txt,What is Cross-Site Scripting (XSS)?,Cross-Site Scripting (XSS) is a client-side code injection attack where an attacker injects malicious scripts into otherwise trusted websites.
doc2.txt,What is the primary difference between Stored (Persistent) XSS and Reflected (Non-Persistent) XSS?,"The primary difference between Stored (Persistent) XSS and Reflected (Non-Persistent) XSS is that Stored XSS stores the malicious script permanently on the target server, whereas Reflected XSS delivers the malicious script via a specially crafted URL."
doc2.txt,How does a DOM-based XSS attack work?,"A DOM-based XSS attack payload is executed by modifying the DOM environment in the victim's browser, without any server-side interaction."
doc2.txt,What are some consequences of successful XSS attacks?,"Consequences of successful XSS attacks include session hijacking, credential theft, keylogging, phishing, and full account takeover."
doc2.txt,Why is using a combination of server-side input validation and context-aware output encoding recommended as a defence strategy against XSS?,The OWASP recommends using a combination of server-side input validation and context-aware output encoding as the most reliable defence strategy because it provides a robust protection against XSS attacks.
doc25.txt,What is the primary purpose of digital forensics?,"The primary purpose of digital forensics is the application of scientific methods to the identification, preservation, extraction, and documentation of digital evidence for use in legal proceedings or security investigations."
doc25.txt,How do forensic processes preserve evidence integrity?,"Forensic processes preserve evidence integrity by working from copies (forensic images) rather than original media, and by computing and verifying cryptographic hashes (MD5, SHA-256) of all evidence items."
doc25.txt,What is the purpose of a chain of custody in digital forensics?,"The purpose of a chain of custody is to document tracking who collected evidence, when, where, how, and who had subsequent access to it, which is essential for evidence admissibility in legal proceedings."
doc25.txt,What is the difference between log clearing and secure deletion in anti-forensics?,"Log clearing involves clearing Windows event logs (Event ID 1102 or 104) or deleting Unix syslog entries, whereas secure deletion involves overwriting data before deletion to prevent recovery."
doc25.txt,Why is it essential to engage legal counsel early in a digital forensic investigation?,"It is essential to engage legal counsel early in a digital forensic investigation because evidence collected for criminal prosecution must meet admissibility standards, and security teams must understand the boundary between corporate policy investigations and matters that may lead to criminal prosecution."
doc41.txt,What is command injection?,Command injection is a vulnerability that allows an attacker to execute arbitrary operating system commands on the server running the application.
doc41.txt,How do attackers exploit command injection vulnerabilities?,"Attackers exploit command injection vulnerabilities by terminating the intended command and injecting arbitrary commands using shell metacharacters such as semicolons, pipes, and command substitutions."
doc41.txt,What is the primary defence against command injection?,The primary defence against command injection is to not invoke OS commands based on user input where alternatives exist.
doc41.txt,Why is it essential to run web applications with minimal privileges?,"Running web applications with minimal privileges limits the impact of command injection, as it prevents attackers from executing commands with elevated privileges."
doc41.txt,What is related to command injection and can alter a command's behaviour even without shell invocation?,"Argument injection is related to command injection and can alter a command's behaviour even without shell invocation, for example, by passing --exec or --config arguments to programs that interpret them."
doc42.txt,What is Cross-Site Request Forgery (CSRF)?,Cross-Site Request Forgery (CSRF) is an attack that tricks an authenticated user's browser into making an unwanted request to a web application they are currently authenticated to.
doc42.txt,How does a CSRF attack work when a victim visits a malicious page?,"A malicious image tag or form on the malicious page can trigger a GET or POST request to the victim's authenticated web application, which the browser sends with the victim's session cookie."
doc42.txt,What is the main difference between CSRF and XSS attacks?,"CSRF exploits the server's trust in the browser (cookie-based session), while XSS exploits the browser's trust in the server (injected scripts)."
doc42.txt,Why is the SameSite Cookie Attribute considered a strong CSRF protection measure?,"The SameSite attribute prevents browsers from including cookies in cross-site requests, making it difficult for attackers to exploit session cookies."
doc42.txt,What is the purpose of the X-Frame-Options header in defending against Clickjacking?,"The X-Frame-Options header directs browsers not to render the page in a frame, preventing attackers from overlaying a legitimate site over a malicious page."
doc45.txt,What is the primary purpose of cryptographic hash functions?,"Cryptographic hash functions produce a fixed-size digest (hash) from arbitrary-length input data, with properties that make them suitable for integrity verification, digital signatures, and password storage."
doc45.txt,What is the difference between pre-image resistance and second pre-image resistance in cryptographic hash functions?,"Pre-image resistance prevents reversing the hash to recover the original data, while second pre-image resistance prevents replacing a known file with a malicious one having the same hash."
doc45.txt,Why should MD5 not be used for digital signatures or certificate fingerprints?,"MD5 is fully broken for security purposes and has been demonstrated to have practical collision attacks, making it unsuitable for secure applications."
doc45.txt,How does Argon2 resist GPU attacks?,"Argon2 is resistant to GPU attacks due to its memory-hard properties, making parallelism on GPUs/ASICs more costly."
doc45.txt,What is the purpose of salting in password hashing?,"Salting prevents precomputed rainbow table attacks and ensures identical passwords produce different hashes, making it a crucial component of secure password storage."
doc5.txt,What is the primary function of a firewall in network security?,"Firewalls filter incoming and outgoing traffic based on defined security rules to prevent unauthorized access, misuse, modification, or denial of a computer network and its accessible resources."
doc5.txt,How does a Stateful Inspection Firewall differ from a Packet Filtering Firewall?,"A Stateful Inspection Firewall tracks the state of active connections and makes filtering decisions based on context, whereas a Packet Filtering Firewall inspects packets at the network layer and filters based on IP addresses, port numbers, and protocols."
doc5.txt,What is the main difference between an Intrusion Detection System (IDS) and an Intrusion Prevention System (IPS)?,"An IDS logs and alerts on threats, whereas an IPS actively blocks them."
doc5.txt,Why is network segmentation important in network security?,"Network segmentation divides a network into smaller sub-networks (VLANs or subnets) to limit the blast radius of a breach, thereby reducing the impact of a potential security incident."
doc5.txt,What is the primary advantage of a Modern Zero-Trust Network Architecture (ZTNA) over traditional VPN models?,"A ZTNA applies continuous verification rather than implicit trust within the network perimeter, providing a more secure and dynamic approach to network access control."
